tract,total_tweets,miss_home_tract,userwith5_count,total_users,tweets_hometract,tweets_sent_from_home,oddratio_12AM,percent_of_tweets,percent_of_tweets_ht,percent_of_local_tweets_byalltwitter,percent_of_users,percent_of_users_5_tweet,oddratio_1AM,oddratio_2AM,oddratio_3AM,oddratio_4AM,oddratio_5AM,oddratio_6AM,oddratio_7AM,oddratio_8AM,oddratio_9AM,oddratio_10AM,oddratio_11AM,oddratio_12PM,oddratio_1PM,oddratio_2PM,oddratio_3PM,oddratio_4PM,oddratio_5PM,oddratio_6PM,oddratio_7PM,oddratio_8PM,oddratio_9PM,oddratio_10PM,oddratio_11PM,Sunday_oddratio,Monday_oddratio,Tuesday_oddratio,Wednesday_oddratio,Thursday_oddratio,Friday_oddratio,Saturday_oddratio,weekend_oddratio,weekday_oddratio,nighttime_oddratio,daytime_oddratio,local_tweets,percent_of_local_tweets_bytract,local_oddratio_12AM,local_oddratio_1AM,local_oddratio_2AM,local_oddratio_3AM,local_oddratio_4AM,local_oddratio_5AM,local_oddratio_6AM,local_oddratio_7AM,local_oddratio_8AM,local_oddratio_9AM,local_oddratio_10AM,local_oddratio_11AM,local_oddratio_12PM,local_oddratio_1PM,local_oddratio_2PM,local_oddratio_3PM,local_oddratio_4PM,local_oddratio_5PM,local_oddratio_6PM,local_oddratio_7PM,local_oddratio_8PM,local_oddratio_9PM,local_oddratio_10PM,local_oddratio_11PM,local_Sunday_oddratio,local_Monday_oddratio,local_Tuesday_oddratio,local_Wednesday_oddratio,local_Thursday_oddratio,local_Friday_oddratio,local_Saturday_oddratio,local_weekend_oddratio,local_weekday_oddratio,local_nighttime_oddratio,local_daytime_oddratio,neighbor_tweets,neighbor_weekend_oddratio,neighbor_weekday_oddratio,neighbor_nighttime_oddratio,neighbor_daytime_oddratio,other_weekday_oddratio,other_weekend_oddratio,other_daytime_oddratio,other_nighttime_oddratio,other_tweets,percent_of_neighbor_tweets_pertract,percent_of_other_tweets_pertract
36047086800,14401,0.000379171,119,578,14396,10855,0.065342685,0.000191074,0.000191007,0.000144025,0.003530332,0.205882353,0.072356086,0.073189362,0.073258801,0.065551003,0.057982085,0.054440664,0.033539338,0.021387404,0.012638011,0.016179432,0.016943268,0.015971113,0.015901673,0.021804041,0.022776196,0.030414555,0.02756753,0.033400458,0.048538296,0.060343032,0.046802305,0.054718422,0.058537602,0.157489063,0.126241233,0.111728352,0.102215124,0.146239844,0.173321297,0.182348448,0.423859454,0.575723908,0.553086591,0.446496771,10855,0.7537671,0.04603847,0.057982085,0.057218249,0.059926394,0.054787862,0.051246441,0.050274287,0.0294424,0.019026456,0.010832581,0.011596417,0.011457538,0.011388098,0.009721547,0.014860079,0.013262968,0.017151587,0.016179432,0.019512534,0.034511492,0.042774807,0.031595028,0.040136102,0.042844247,0.13054649,0.087077286,0.081522117,0.073953198,0.106242622,0.122283175,0.152142212,0.328796611,0.424970488,0.413026873,0.340740226,410,0.009027151,0.019443094,0.013262968,0.015207277,0.555586418,0.662176238,0.644052496,0.573710159,3136,0.028470245,0.217762655
36047087000,6080,0,46,218,6080,5036,0.058881579,8.07E-05,8.07E-05,6.68E-05,0.001331509,0.211009174,0.060197368,0.081907895,0.083552632,0.076151316,0.051480263,0.020065789,0.016447368,0.004440789,0.005098684,0.009703947,0.025328947,0.024671053,0.025,0.048026316,0.052467105,0.071217105,0.050822368,0.048026316,0.038815789,0.027960526,0.034539474,0.040131579,0.045065789,0.164144737,0.150164474,0.159868421,0.163322368,0.150164474,0.099013158,0.113322368,0.299835526,0.700164474,0.471052632,0.528947368,5036,0.828289474,0.049671053,0.052631579,0.073684211,0.077138158,0.066940789,0.04375,0.016940789,0.014802632,0.004276316,0.003782895,0.003289474,0.008881579,0.016447368,0.019243421,0.040625,0.046381579,0.058388158,0.041282895,0.039802632,0.030427632,0.018914474,0.028947368,0.034539474,0.0375,0.141118421,0.127631579,0.127960526,0.135855263,0.125328947,0.080427632,0.089967105,0.242269737,0.586019737,0.403453947,0.424835526,503,0.022532895,0.060197368,0.025657895,0.057072368,0.353782895,0.735197368,0.518092105,0.570888158,541,0.082730263,0.088980263
36047087200,14552,0,51,186,14552,13669,0.069887301,0.000193077,0.000193077,0.000181361,0.001136058,0.274193548,0.075041231,0.077721275,0.053051127,0.041094008,0.027831226,0.01491204,0.007078065,0.004604178,0.003023639,0.01264431,0.018966465,0.034565695,0.036695987,0.054631666,0.0461105,0.048240792,0.056624519,0.054425509,0.045148433,0.049409016,0.050920836,0.05731171,0.060060473,0.150975811,0.179562947,0.116753711,0.128779549,0.169736119,0.143829027,0.110362837,0.316313909,0.683686091,0.538551402,0.461448598,13669,0.939321056,0.065076965,0.071467839,0.073117097,0.049271578,0.037658054,0.023020891,0.011613524,0.005703683,0.004054426,0.00226773,0.012575591,0.017729522,0.033053876,0.033534909,0.052226498,0.042811985,0.045285871,0.054975261,0.051745465,0.043430456,0.047691039,0.048034634,0.055593733,0.057380429,0.142592084,0.173240792,0.111187466,0.120808136,0.159840572,0.133521165,0.098130841,0.289513469,0.649807587,0.511063771,0.428257284,298,0.007215503,0.013262782,0.007902694,0.012575591,0.336929632,0.703271028,0.559167125,0.481033535,585,0.020478285,0.04020066
36047087401,4375,0,58,224,4375,2387,0.058971429,5.80E-05,5.80E-05,3.17E-05,0.001368156,0.258928571,0.057828571,0.066285714,0.056,0.058514286,0.042057143,0.025828571,0.021257143,0.023542857,0.014628571,0.015085714,0.022171429,0.019657143,0.028571429,0.044571429,0.0448,0.050057143,0.050514286,0.051428571,0.0416,0.049142857,0.056,0.051885714,0.0496,0.151542857,0.1232,0.1296,0.1264,0.146057143,0.158857143,0.164342857,0.400228571,0.599771429,0.487314286,0.512685714,2387,0.5456,0.033371429,0.033371429,0.026971429,0.024685714,0.026285714,0.021028571,0.018285714,0.0128,0.019657143,0.013028571,0.012114286,0.017371429,0.012114286,0.014857143,0.024228571,0.0256,0.022171429,0.026514286,0.026057143,0.025142857,0.027657143,0.032,0.026742857,0.023542857,0.076342857,0.061714286,0.072914286,0.069485714,0.08,0.093485714,0.091657143,0.229257143,0.316342857,0.253485714,0.292114286,501,0.038857143,0.075657143,0.063314286,0.0512,0.608,0.731885714,0.656685714,0.6832,1487,0.114514286,0.339885714
36047087600,3123,0,55,217,3123,1120,0.04803074,4.14E-05,4.14E-05,1.49E-05,0.001325401,0.253456221,0.052193404,0.081972462,0.078450208,0.065321806,0.080371438,0.049631764,0.030739673,0.013448607,0.008645533,0.004803074,0.012487992,0.02529619,0.037463977,0.026577009,0.045148895,0.07076529,0.04803074,0.034582133,0.035542747,0.037143772,0.041626641,0.039705411,0.032020493,0.1623439,0.160102466,0.154658982,0.161383285,0.154018572,0.099903939,0.107588857,0.317323087,0.682676913,0.446685879,0.553314121,1120,0.358629523,0.02337496,0.02337496,0.0454691,0.048350945,0.038424592,0.04482869,0.02465578,0.003842459,,0.00192123,0.00064041,0.000960615,0.003202049,0.005763689,0.005123279,0.006083894,0.020813321,0.012167787,0.006724304,0.007044508,0.007044508,0.009606148,0.007364713,0.011847582,0.065001601,0.07204611,0.06948447,0.050272174,0.052833814,0.019852706,0.029138649,0.089657381,0.268972142,0.183477426,0.175152097,105,0.012167787,0.02145373,0.014089017,0.019532501,0.709574127,0.898174832,0.805315402,0.802433557,1898,0.033621518,0.607748959
36047087800,2574,0,86,399,2574,969,0.064491064,3.42E-05,3.42E-05,1.29E-05,0.002437028,0.215538847,0.054001554,0.053224553,0.05982906,0.036907537,0.032245532,0.017871018,0.009324009,0.019036519,0.013209013,0.015151515,0.02991453,0.045066045,0.038461538,0.047008547,0.049339549,0.059052059,0.057109557,0.056332556,0.036907537,0.055555556,0.053224553,0.041569542,0.055167055,0.172105672,0.137529138,0.126651127,0.146076146,0.146076146,0.14996115,0.121600622,0.367521368,0.632478632,0.473970474,0.526029526,969,0.376456876,0.027195027,0.026806527,0.037296037,0.036130536,0.02020202,0.014763015,0.008935509,0.002331002,0.005439005,0.005827506,0.002719503,0.003885004,0.01010101,0.01048951,0.011655012,0.012432012,0.015540016,0.018259518,0.013986014,0.012043512,0.017094017,0.019036519,0.01981352,0.024475524,0.051282051,0.051670552,0.055167055,0.06021756,0.065268065,0.052447552,0.04040404,0.109168609,0.267288267,0.21989122,0.156565657,104,0.021756022,0.018648019,0.022921523,0.017482517,0.714063714,0.869075369,0.825951826,0.757187257,1501,0.04040404,0.583139083
36047088000,9758,0,85,468,9758,4589,0.049907768,0.00012947,0.00012947,6.09E-05,0.002858469,0.181623932,0.06107809,0.074912892,0.076040172,0.074810412,0.06046321,0.043758967,0.033715925,0.021110883,0.019061283,0.014449682,0.010760402,0.018036483,0.027977044,0.054006969,0.053904489,0.038122566,0.039557286,0.045193687,0.035458086,0.033818405,0.038225046,0.034330805,0.041299447,0.153822505,0.12225866,0.117749539,0.148391064,0.131174421,0.156691945,0.169911867,0.399057184,0.600942816,0.445070711,0.554929289,4589,0.470280795,0.027259684,0.041914327,0.046423447,0.037815126,0.032281205,0.032383685,0.017216643,0.010452962,0.0010248,0.00133224,0.0010248,0.003279361,0.009530642,0.014552162,0.030231605,0.028386965,0.015986883,0.019368723,0.023058004,0.016806723,0.015781923,0.012605042,0.015986883,0.015576962,0.089567534,0.041196967,0.049907768,0.080446813,0.074912892,0.071531051,0.06271777,0.171756507,0.298524288,0.230170117,0.240110678,3739,0.173396188,0.209776594,0.138245542,0.244927239,0.491699119,0.654847305,0.514962082,0.631584341,1430,0.383172781,0.146546423
36047088200,9266,0,85,307,9266,7258,0.068853874,0.000122942,0.000122942,9.63E-05,0.001875107,0.276872964,0.093891647,0.088063889,0.077271746,0.063026117,0.04068638,0.031944744,0.02633283,0.016188215,0.010792143,0.011979279,0.017591194,0.020397151,0.027412044,0.037556659,0.040254695,0.034858623,0.039823009,0.042089359,0.038204187,0.04144183,0.033671487,0.041118066,0.056550831,0.175264408,0.126160155,0.13026117,0.126268077,0.130800777,0.141700842,0.169544572,0.387545867,0.612454133,0.539067559,0.460932441,7258,0.783293762,0.052341895,0.075868768,0.069717246,0.061407295,0.044139866,0.030325923,0.02331103,0.023203108,0.013598101,0.007230736,0.009497086,0.012950572,0.012195122,0.019749622,0.027735808,0.033455644,0.030002158,0.033671487,0.035506152,0.032808116,0.034426937,0.025685301,0.032592273,0.041873516,0.143643428,0.096265918,0.097237211,0.103496654,0.106626376,0.110511548,0.125512627,0.29818692,0.485106842,0.426721347,0.356572415,350,0.011115908,0.026656594,0.019641701,0.018130801,0.488236564,0.690697172,0.625296784,0.553636952,1658,0.037772502,0.178933736
36047088400,11732,0,68,259,11732,9974,0.059580634,0.000155661,0.000155661,0.000132336,0.001581931,0.262548263,0.074497102,0.069723832,0.085322196,0.068360041,0.044237982,0.018752131,0.009461302,0.004006137,0.002386635,0.008353222,0.019945448,0.025059666,0.047988408,0.044919877,0.040317081,0.045772247,0.048244119,0.045772247,0.039294238,0.054551654,0.050375043,0.045175588,0.047903171,0.167490624,0.162632117,0.131605864,0.121206955,0.148738493,0.123167405,0.145158541,0.339498807,0.660501193,0.526423457,0.473576543,9974,0.850153427,0.049266962,0.06810433,0.060944426,0.076968974,0.061114899,0.040658029,0.015001705,0.006904194,0.002216161,0.001534265,0.006818957,0.015513126,0.023013979,0.042192295,0.039379475,0.033839073,0.036396181,0.039209001,0.039549949,0.033327651,0.042192295,0.039549949,0.036822366,0.039635186,0.151466076,0.142857143,0.105608592,0.092141152,0.12640641,0.108421412,0.123252642,0.294067508,0.556085919,0.446812138,0.403341289,279,0.009290829,0.014490283,0.012274122,0.011506989,0.429423798,0.696641664,0.585151722,0.54091374,1479,0.023781111,0.126065462
36047088600,16127,0,84,330,16127,12319,0.058721399,0.000213974,0.000213974,0.00016345,0.002015587,0.254545455,0.060209586,0.066286352,0.061139704,0.07285918,0.072487133,0.047684008,0.023376945,0.013951758,0.010975383,0.008991133,0.011595461,0.022446828,0.034786383,0.040863149,0.042847399,0.037638742,0.052334594,0.043715508,0.042227321,0.03770075,0.033670242,0.041607243,0.061883797,0.152849259,0.146338439,0.130650462,0.144354189,0.14460222,0.143548087,0.137657345,0.363117753,0.636882247,0.463446394,0.536553606,12319,0.763874248,0.046815899,0.045699758,0.055372977,0.053326719,0.062999938,0.064302102,0.040367086,0.019966516,0.00849507,0.005332672,0.003038383,0.005022633,0.014881875,0.017672227,0.030259813,0.031127922,0.026973399,0.039995039,0.034104297,0.031127922,0.026539344,0.023128914,0.028585602,0.048738141,0.122527438,0.11142804,0.094251876,0.108079618,0.116202642,0.106157376,0.105227259,0.278043033,0.485831215,0.359335276,0.404538972,515,0.009983258,0.021950766,0.011471445,0.020462578,0.492218019,0.711973709,0.57499845,0.629193278,3293,0.031934024,0.204191728
