,is_home,is_home
,count,home_tweet_ratio
codigo,,
0.0,17845,0.05766321098346876
20010101.0,6915,0.12537960954446856
20010201.0,652,0.8911042944785276
20010202.0,370,0.8540540540540541
20010203.0,138,0.5579710144927537
20010204.0,119,0.5210084033613446
20010205.0,134,0.34328358208955223
20010206.0,14,0.0
20010207.0,90,0.0
20010208.0,9,0.0
20010209.0,45,0.0
20010210.0,16,0.0
20010211.0,277,0.6534296028880866
20010212.0,423,0.4515366430260047
20010213.0,9,0.0
20010214.0,21,0.0
20010215.0,19,0.0
20010216.0,201,0.0
20010217.0,131,0.0
20010218.0,11,0.0
20010219.0,52,0.0
20010301.0,208,0.0
20010302.0,6,0.0
20010303.0,54,0.0
20010304.0,133,0.0
20010305.0,164,0.0
20010306.0,29,0.0
20010307.0,56,0.0
20010308.0,46,0.0
20010309.0,117,0.0
20010310.0,10,0.0
20010311.0,21,0.0
20010312.0,42,0.0
20010313.0,3,0.0
20010314.0,9,0.0
20010315.0,15,0.0
20010316.0,15,0.0
20010317.0,57,0.0
20010318.0,224,0.0
20010319.0,367,0.8228882833787466
20010320.0,24,0.0
20010321.0,5553,0.1501890869800108
20010322.0,47,0.0
20010323.0,52,0.6346153846153846
20010401.0,1688,0.20971563981042654
20010402.0,1263,0.07046714172604909
20010403.0,1991,0.4635861376192868
20010404.0,495,0.2080808080808081
20010405.0,185,0.2864864864864865
20010406.0,492,0.08130081300813008
20010407.0,448,0.10491071428571429
20010408.0,566,0.6113074204946997
20010501.0,536,0.18097014925373134
20010502.0,915,0.040437158469945354
20010503.0,1216,0.2870065789473684
20010504.0,549,0.3424408014571949
20010505.0,756,0.2447089947089947
20010506.0,762,0.14566929133858267
20010507.0,1133,0.11738746690203
20010601.0,1501,0.32045303131245834
20010602.0,952,0.6008403361344538
20010603.0,980,0.2653061224489796
20010604.0,705,0.29929078014184396
20010605.0,327,0.1651376146788991
20010606.0,680,0.13970588235294118
20010607.0,676,0.3624260355029586
20010608.0,1063,0.5747883349012229
20010609.0,680,0.3176470588235294
20010610.0,935,0.2663101604278075
20010701.0,1010,0.15544554455445544
20010702.0,4594,0.11885067479320853
20010703.0,1137,0.0
20010704.0,813,0.2054120541205412
20010705.0,479,0.07724425887265135
20010706.0,784,0.36607142857142855
20010707.0,1541,0.3036988968202466
20010708.0,634,0.2586750788643533
20010709.0,485,0.04742268041237113
20010710.0,1672,0.5867224880382775
20010711.0,2046,0.024926686217008796
20010712.0,738,0.058265582655826556
20010713.0,2668,0.18703148425787106
20010801.0,717,0.24407252440725244
20010802.0,887,0.24464487034949267
20010803.0,3251,0.08120578283605044
20010804.0,955,0.24293193717277486
20010805.0,966,0.1956521739130435
20010806.0,599,0.24040066777963273
20010807.0,1583,0.40240050536955146
20010808.0,414,0.28743961352657005
20010809.0,495,0.1717171717171717
20010810.0,1238,0.1470113085621971
20010901.0,470,0.0
20010902.0,6165,0.1497161394971614
20010903.0,27956,0.16211189011303476
20010904.0,843,0.35231316725978645
20010905.0,823,0.0911300121506683
20010906.0,971,0.1874356333676622
20010907.0,1158,0.33506044905008636
20010908.0,480,0.11875
20010909.0,2112,0.09232954545454546
20010910.0,3905,0.1587708066581306
20010911.0,841,0.05112960760998811
20010912.0,922,0.06832971800433839
20010913.0,1397,0.33142448103078026
20010914.0,6442,0.03166718410431543
20010915.0,1251,0.04156674660271783
20010916.0,4083,0.13054126867499388
20010917.0,4072,0.16601178781925344
20010918.0,912,0.14473684210526316
20010919.0,3117,0.09752967597048444
20011001.0,769,0.20546163849154747
20011002.0,884,0.40384615384615385
20011003.0,1433,0.5771109560362875
20011004.0,926,0.46436285097192226
20011005.0,1417,0.5455187014820042
20011006.0,472,0.4258474576271186
20011007.0,348,0.0
20011008.0,589,0.07809847198641766
20011009.0,1310,0.5847328244274809
20011010.0,1260,0.08333333333333333
20011011.0,517,0.10251450676982592
20011012.0,1952,0.06915983606557377
