,is_home,is_home
,count,home_tweet_ratio
codigo,,
0.0,23995,0.1137737028547614
20010101.0,8884,0.1365375956776227
20010201.0,53,0.0
20010202.0,63,0.0
20010203.0,821,0.13398294762484775
20010204.0,455,0.0
20010205.0,42,0.0
20010206.0,14,0.0
20010207.0,74,0.0
20010208.0,71,0.0
20010209.0,217,0.6359447004608295
20010210.0,3,0.0
20010211.0,9,0.0
20010212.0,319,0.0
20010213.0,2,0.0
20010214.0,24,0.0
20010215.0,37,0.0
20010216.0,100,0.0
20010217.0,59,0.0
20010218.0,22,0.0
20010219.0,75,0.26666666666666666
20010301.0,87,0.0
20010302.0,206,0.0
20010303.0,6,0.0
20010304.0,24,0.0
20010305.0,16,0.0
20010306.0,30,0.0
20010307.0,18,0.0
20010308.0,10,0.0
20010309.0,66,0.0
20010310.0,102,0.0
20010311.0,32,0.0
20010312.0,62,0.0
20010313.0,5,0.0
20010314.0,6,0.0
20010315.0,7,0.0
20010316.0,2,0.0
20010317.0,21,0.0
20010318.0,75,0.0
20010319.0,128,0.0
20010320.0,88,0.0
20010321.0,8692,0.12333179935572941
20010322.0,112,0.0
20010323.0,12,0.0
20010401.0,1493,0.34092431346282653
20010402.0,2270,0.320704845814978
20010403.0,1360,0.0625
20010404.0,647,0.4080370942812983
20010405.0,849,0.607773851590106
20010406.0,755,0.23973509933774834
20010407.0,1565,0.4255591054313099
20010408.0,1071,0.5704948646125116
20010501.0,1080,0.2324074074074074
20010502.0,2095,0.2649164677804296
20010503.0,2470,0.36882591093117406
20010504.0,1110,0.5369369369369369
20010505.0,1372,0.37244897959183676
20010506.0,1692,0.0726950354609929
20010507.0,2756,0.2590711175616836
20010601.0,2437,0.3578169881001231
20010602.0,1121,0.5646743978590544
20010603.0,1594,0.18318695106649938
20010604.0,1499,0.41827885256837893
20010605.0,986,0.13387423935091278
20010606.0,1278,0.0
20010607.0,1216,0.1225328947368421
20010608.0,1475,0.5294915254237288
20010609.0,1488,0.573252688172043
20010610.0,1507,0.0962176509621765
20010701.0,1021,0.3770812928501469
20010702.0,6921,0.08669267446900737
20010703.0,2354,0.10492778249787596
20010704.0,1626,0.16236162361623616
20010705.0,2436,0.37807881773399016
20010706.0,1051,0.0922930542340628
20010707.0,1393,0.12921751615218952
20010708.0,857,0.13885647607934656
20010709.0,1272,0.36163522012578614
20010710.0,1550,0.2
20010711.0,3525,0.0851063829787234
20010712.0,2059,0.45361826129188926
20010713.0,7269,0.17361397716329618
20010801.0,1502,0.05992010652463382
20010802.0,1362,0.22834067547723935
20010803.0,7202,0.24007220216606498
20010804.0,1862,0.3694951664876477
20010805.0,2220,0.5004504504504504
20010806.0,921,0.18132464712269272
20010807.0,2759,0.3548387096774194
20010808.0,1271,0.2808811959087333
20010809.0,1099,0.2948134667879891
20010810.0,1711,0.2074810052600818
20010901.0,1195,0.5288702928870292
20010902.0,6282,0.07529449219993632
20010903.0,20583,0.16372734781130058
20010904.0,939,0.0
20010905.0,2182,0.23556370302474794
20010906.0,2237,0.14126061689763075
20010907.0,858,0.3006993006993007
20010908.0,801,0.08114856429463171
20010909.0,3521,0.06447032093155354
20010910.0,6465,0.09048723897911833
20010911.0,706,0.2096317280453258
20010912.0,2368,0.23310810810810811
20010913.0,1853,0.16729627630868862
20010914.0,5325,0.0584037558685446
20010915.0,2037,0.13402061855670103
20010916.0,5274,0.07413727720894957
20010917.0,5237,0.12698109604735536
20010918.0,1803,0.23571824736550195
20010919.0,6120,0.13218954248366013
20011001.0,1310,0.07938931297709924
20011002.0,1082,0.21903881700554528
20011003.0,1450,0.20896551724137932
20011004.0,807,0.4138785625774473
20011005.0,679,0.18409425625920472
20011006.0,591,0.24027072758037224
20011007.0,680,0.11176470588235295
20011008.0,1677,0.0763267740011926
20011009.0,906,0.18543046357615894
20011010.0,1276,0.28134796238244514
20011011.0,1332,0.5172672672672672
20011012.0,3853,0.17025694264209706
